                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3277,                 1.9915,                 1.5197,                 1.3536,                 2.3008,                 1.5004,                0.26641,                0.43678,                 0.2379,                0.11837,                 1.6279,                 2.7608,                 1.9351,                 1.6319,                 2.7201,                 1.8815,             0.00047514,             0.00047514,             0.00047514
                      2,                 1.4776,                 2.0016,                 1.6457,                 1.5371,                 2.1856,                  1.638,                0.27658,                0.38973,                0.24514,                0.12519,                 1.5356,                 2.3033,                 1.8155,                 1.6068,                 2.4939,                 1.8278,             0.00094205,             0.00094205,             0.00094205
                      3,                 1.4341,                 1.9305,                  1.611,                 1.4962,                 2.1086,                 1.6065,                0.36598,                 0.4655,                0.32724,                0.18794,                 1.3676,                 1.8196,                 1.6484,                  1.412,                 1.8999,                 1.6588,              0.0013995,              0.0013995,              0.0013995
                      4,                 1.3554,                 1.7843,                 1.5568,                 1.4306,                 1.9484,                 1.5622,                0.41059,                0.50293,                0.38126,                0.22555,                  1.266,                 1.6952,                 1.5599,                 1.3352,                 1.7506,                  1.604,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.2765,                 1.7029,                 1.5049,                 1.3501,                 1.8518,                 1.5185,                0.36161,                0.56095,                0.41374,                 0.2597,                  1.171,                 1.5878,                 1.4985,                 1.2329,                 1.6681,                 1.5362,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.2212,                 1.6105,                 1.4572,                 1.2998,                 1.7653,                 1.4804,                0.42553,                0.55743,                 0.4671,                0.29824,                 1.1725,                  1.446,                 1.5093,                 1.2349,                 1.4903,                  1.554,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.1894,                 1.5431,                  1.439,                   1.27,                 1.6916,                 1.4696,                0.45294,                0.56774,                0.45624,                0.29881,                 1.0931,                 1.4323,                 1.4331,                 1.1604,                 1.4703,                 1.4681,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.1491,                 1.4996,                  1.411,                 1.2331,                 1.6351,                  1.442,                0.45065,                0.57347,                0.49066,                0.32619,                 1.0718,                 1.3826,                 1.4205,                 1.1341,                 1.4465,                 1.4457,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.1251,                  1.449,                 1.3929,                 1.2098,                 1.5774,                 1.4193,                0.45817,                0.56485,                0.48265,                0.32365,                 1.0605,                 1.3543,                 1.4059,                 1.1094,                 1.3936,                 1.4348,                0.00133,                0.00133,                0.00133
                     10,                 1.0942,                 1.4095,                 1.3711,                 1.1812,                 1.5322,                 1.3976,                0.48773,                 0.6211,                0.52845,                0.35973,                 1.0272,                   1.28,                 1.3785,                 1.0891,                 1.3214,                 1.4171,              0.0013158,              0.0013158,              0.0013158
                     11,                 1.0788,                 1.3889,                 1.3674,                 1.1598,                 1.5141,                 1.3959,                0.48211,                0.62793,                0.52194,                0.36129,                 1.0184,                 1.3002,                 1.3671,                 1.0789,                  1.337,                  1.407,              0.0013017,              0.0013017,              0.0013017
                     12,                 1.0571,                 1.3534,                 1.3415,                 1.1462,                 1.4725,                 1.3721,                0.49759,                0.61675,                0.54988,                0.38379,                0.98443,                 1.2218,                 1.3507,                  1.043,                 1.2621,                 1.3811,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.0283,                 1.3139,                 1.3267,                 1.1147,                 1.4265,                 1.3563,                0.49698,                0.64704,                0.58301,                0.41748,                0.94834,                 1.1516,                 1.3218,                0.99515,                 1.2145,                 1.3447,              0.0012734,              0.0012734,              0.0012734
                     14,                 1.0207,                 1.2774,                 1.3106,                 1.1029,                 1.3908,                 1.3369,                0.57571,                0.63823,                0.60445,                0.43113,                0.95645,                 1.1499,                 1.3256,                 1.0056,                 1.1942,                 1.3453,              0.0012592,              0.0012592,              0.0012592
                     15,                0.99888,                 1.2538,                 1.3027,                 1.0823,                  1.368,                 1.3318,                0.52283,                0.65821,                 0.6001,                 0.4221,                0.94027,                  1.196,                 1.3079,                0.99642,                  1.234,                 1.3404,              0.0012451,              0.0012451,              0.0012451
                     16,                0.97176,                 1.2271,                 1.2797,                 1.0548,                 1.3298,                 1.3127,                0.56663,                0.62028,                0.60405,                0.44024,                 0.8994,                 1.1085,                  1.281,                0.94553,                 1.1508,                 1.3107,              0.0012309,              0.0012309,              0.0012309
                     17,                0.95495,                 1.1919,                 1.2637,                  1.045,                  1.289,                 1.2981,                0.57376,                0.64019,                0.63321,                0.45887,                0.92749,                 1.0753,                 1.2987,                0.98038,                 1.1044,                 1.3349,              0.0012168,              0.0012168,              0.0012168
                     18,                0.94819,                  1.186,                 1.2636,                 1.0328,                 1.2743,                 1.2992,                0.57852,                0.65774,                0.61663,                0.44423,                0.91653,                 1.1208,                 1.2981,                 0.9663,                  1.136,                 1.3337,              0.0012026,              0.0012026,              0.0012026
                     19,                0.94054,                 1.1625,                  1.255,                 1.0262,                 1.2598,                 1.2928,                0.62148,                0.63937,                0.66149,                0.48358,                0.91449,                 1.0504,                 1.2906,                0.95502,                 1.0811,                 1.3181,              0.0011885,              0.0011885,              0.0011885
                     20,                0.93119,                   1.15,                 1.2466,                 1.0157,                 1.2458,                 1.2814,                 0.6076,                 0.6643,                0.66087,                0.48209,                0.90043,                 1.0174,                   1.28,                0.94698,                 1.0595,                 1.3058,              0.0011744,              0.0011744,              0.0011744
                     21,                0.91414,                 1.1214,                 1.2372,                0.99864,                 1.2137,                 1.2672,                0.62977,                 0.6636,                0.67092,                0.49953,                0.86647,                0.99755,                 1.2491,                0.91461,                  1.046,                 1.2766,              0.0011602,              0.0011602,              0.0011602
                     22,                0.90362,                 1.0911,                 1.2236,                0.98268,                 1.1895,                 1.2554,                0.62399,                0.66738,                0.66639,                0.49744,                 0.8717,                0.99277,                 1.2566,                0.91218,                 1.0248,                 1.2767,              0.0011461,              0.0011461,              0.0011461
                     23,                0.89408,                 1.1001,                 1.2232,                0.97407,                 1.1861,                 1.2541,                0.62798,                0.66327,                0.68095,                0.50502,                0.88083,                0.98429,                 1.2618,                0.92121,                 1.0083,                 1.2837,              0.0011319,              0.0011319,              0.0011319
                     24,                0.87902,                 1.0512,                 1.2073,                 0.9587,                 1.1432,                 1.2375,                0.61962,                0.66694,                0.66869,                0.49079,                0.86968,                0.99384,                 1.2636,                0.91148,                 1.0291,                  1.283,              0.0011178,              0.0011178,              0.0011178
                     25,                0.87386,                 1.0472,                 1.2049,                0.95876,                 1.1383,                 1.2377,                0.61386,                0.69105,                0.69007,                0.51225,                0.86516,                0.97374,                 1.2566,                0.90538,                0.99939,                 1.2798,              0.0011036,              0.0011036,              0.0011036
                     26,                0.86445,                 1.0356,                 1.2005,                0.94336,                 1.1255,                 1.2294,                0.60104,                0.69277,                0.68272,                 0.5079,                0.85784,                0.96915,                 1.2538,                 0.9089,                0.99693,                 1.2783,              0.0010895,              0.0010895,              0.0010895
                     27,                 0.8655,                 1.0264,                 1.1994,                0.94645,                 1.1188,                 1.2312,                 0.6232,                0.67752,                 0.6829,                0.51342,                 0.8509,                 1.0014,                 1.2405,                0.89162,                 1.0176,                 1.2637,              0.0010753,              0.0010753,              0.0010753
                     28,                0.84513,                 1.0033,                 1.1861,                0.92145,                 1.0919,                 1.2209,                0.64188,                0.67158,                0.69622,                0.52282,                0.85298,                0.96126,                 1.2477,                0.88983,                 1.0059,                 1.2721,              0.0010612,              0.0010612,              0.0010612
                     29,                0.84508,                0.99192,                 1.1859,                0.92488,                 1.0763,                 1.2252,                0.63558,                0.68232,                 0.6973,                0.52869,                0.83577,                0.95001,                 1.2306,                0.87935,                0.98429,                 1.2621,               0.001047,               0.001047,               0.001047
                     30,                0.83378,                0.97231,                 1.1783,                0.91187,                 1.0569,                  1.213,                0.63039,                0.71662,                0.71041,                0.53421,                0.83944,                0.96347,                 1.2383,                0.88393,                0.99039,                 1.2676,              0.0010329,              0.0010329,              0.0010329
                     31,                0.83182,                0.96003,                 1.1795,                0.91038,                 1.0498,                 1.2141,                0.65936,                0.69463,                0.71318,                 0.5378,                0.83761,                0.93123,                  1.237,                0.87979,                 0.9602,                 1.2605,              0.0010187,              0.0010187,              0.0010187
                     32,                 0.8195,                0.95333,                 1.1701,                0.90088,                 1.0449,                 1.2047,                0.66856,                0.70291,                0.72248,                0.54294,                0.83695,                0.91305,                 1.2314,                0.88016,                0.95376,                 1.2557,              0.0010046,              0.0010046,              0.0010046
                     33,                0.81326,                0.92512,                  1.168,                0.89126,                 1.0051,                 1.2026,                0.65882,                0.69901,                0.72022,                 0.5448,                 0.8336,                0.91989,                 1.2396,                0.87858,                0.93939,                 1.2661,             0.00099044,             0.00099044,             0.00099044
                     34,                0.80695,                0.91154,                  1.156,                0.88614,                0.99723,                 1.1893,                0.63853,                0.69694,                0.70291,                0.53255,                0.82545,                0.94262,                 1.2226,                0.87077,                0.98257,                 1.2476,             0.00097629,             0.00097629,             0.00097629
                     35,                0.79984,                0.89857,                 1.1503,                0.87735,                0.97723,                 1.1822,                0.69242,                0.69026,                0.73555,                 0.5612,                 0.8214,                0.89959,                 1.2265,                0.86106,                0.94477,                 1.2518,             0.00096215,             0.00096215,             0.00096215
                     36,                 0.7965,                0.89801,                 1.1508,                0.87456,                0.97939,                 1.1834,                0.66161,                0.69289,                0.71951,                0.55023,                0.82233,                0.91074,                 1.2229,                0.86931,                0.94981,                 1.2504,               0.000948,               0.000948,               0.000948
                     37,                0.78193,                 0.8821,                 1.1413,                0.86007,                0.96639,                 1.1727,                0.67174,                0.70073,                0.73662,                0.55829,                0.82174,                0.90018,                 1.2321,                0.86497,                0.93935,                 1.2487,             0.00093385,             0.00093385,             0.00093385
                     38,                0.77913,                0.85542,                 1.1339,                0.85703,                 0.9322,                 1.1661,                0.70233,                0.67332,                0.72946,                0.55373,                0.82398,                0.89047,                 1.2272,                 0.8627,                 0.9269,                 1.2466,              0.0009197,              0.0009197,              0.0009197
                     39,                0.76659,                0.84591,                 1.1317,                0.83841,                0.92037,                 1.1604,                0.69777,                 0.6978,                 0.7395,                0.56596,                0.82029,                0.87731,                 1.2257,                0.85846,                0.90749,                 1.2454,             0.00090556,             0.00090556,             0.00090556
                     40,                 0.7643,                0.83261,                 1.1276,                0.83964,                0.90794,                 1.1597,                0.68177,                0.70037,                0.73442,                 0.5569,                0.83358,                0.90925,                 1.2328,                0.87103,                0.95859,                  1.257,             0.00089141,             0.00089141,             0.00089141
                     41,                 0.7571,                 0.8233,                 1.1207,                0.83258,                 0.8964,                 1.1553,                0.68124,                0.70063,                 0.7367,                0.56868,                0.79842,                0.88384,                 1.2091,                0.83954,                0.93127,                 1.2303,             0.00087726,             0.00087726,             0.00087726
                     42,                 0.7505,                0.80362,                 1.1228,                0.82874,                0.88534,                 1.1559,                0.69731,                 0.6794,                0.73967,                0.56596,                  0.807,                0.87386,                 1.2138,                0.85075,                0.92264,                 1.2387,             0.00086312,             0.00086312,             0.00086312
                     43,                0.74714,                0.79857,                 1.1161,                0.81854,                0.87122,                 1.1455,                0.68067,                0.71958,                0.74946,                0.57971,                0.80182,                0.86388,                 1.2135,                0.84592,                0.89383,                 1.2397,             0.00084897,             0.00084897,             0.00084897
                     44,                0.74019,                0.79031,                 1.1094,                0.81726,                0.86643,                 1.1411,                0.69458,                0.70881,                0.74987,                0.57873,                0.80666,                0.85884,                 1.2207,                0.85246,                0.89994,                 1.2418,             0.00083482,             0.00083482,             0.00083482
                     45,                 0.7342,                0.78367,                  1.103,                0.80976,                0.85601,                 1.1357,                0.69374,                0.71585,                0.74524,                0.57754,                0.79593,                0.86774,                 1.2076,                0.84091,                0.90783,                 1.2349,             0.00082067,             0.00082067,             0.00082067
                     46,                0.72532,                0.77004,                 1.1038,                0.80156,                0.84632,                 1.1376,                0.67203,                0.74092,                0.74423,                0.57878,                0.80608,                0.87169,                 1.2277,                0.84865,                0.92767,                 1.2512,             0.00080653,             0.00080653,             0.00080653
                     47,                0.73171,                0.76987,                 1.1015,                0.80594,                0.84862,                 1.1347,                0.67582,                0.70968,                0.74021,                0.57538,                0.79789,                 0.8789,                  1.207,                0.84342,                0.92236,                 1.2358,             0.00079238,             0.00079238,             0.00079238
                     48,                0.71408,                0.74624,                 1.0865,                0.79099,                0.81595,                 1.1195,                0.68056,                0.72836,                0.74486,                0.57157,                0.80444,                0.87009,                  1.214,                0.84639,                0.92581,                 1.2372,             0.00077823,             0.00077823,             0.00077823
                     49,                0.71133,                0.73538,                  1.092,                0.78224,                0.80234,                  1.124,                0.69271,                 0.7199,                0.75556,                0.57962,                0.80331,                0.86689,                   1.22,                 0.8434,                0.90925,                 1.2411,             0.00076409,             0.00076409,             0.00076409
                     50,                0.71058,                0.74169,                 1.0896,                0.78093,                0.82039,                 1.1196,                 0.6923,                0.72206,                0.75805,                0.58653,                 0.7989,                0.84738,                 1.2117,                0.83753,                0.90924,                 1.2328,             0.00074994,             0.00074994,             0.00074994
                     51,                0.69507,                0.71908,                 1.0767,                0.76581,                0.79078,                 1.1075,                0.71792,                0.72042,                0.76132,                0.58594,                0.80927,                0.84815,                 1.2241,                0.84819,                 0.9018,                  1.245,             0.00073579,             0.00073579,             0.00073579
                     52,                0.70493,                0.71576,                 1.0839,                0.77625,                0.78623,                 1.1167,                0.69475,                0.72471,                0.75672,                0.58501,                0.79421,                0.84495,                  1.203,                0.83633,                0.89281,                 1.2268,             0.00072164,             0.00072164,             0.00072164
                     53,                0.69682,                0.71328,                 1.0779,                0.77024,                0.77989,                 1.1122,                0.70854,                0.71829,                0.76376,                0.59277,                0.79776,                 0.8484,                  1.211,                0.84083,                  0.894,                 1.2358,              0.0007075,              0.0007075,              0.0007075
                     54,                0.69199,                0.68812,                 1.0735,                0.76238,                0.75453,                 1.1025,                0.71354,                0.71492,                0.76687,                0.59202,                0.79601,                0.84289,                 1.2078,                0.83361,                0.90183,                  1.225,             0.00069335,             0.00069335,             0.00069335
                     55,                0.68677,                0.68516,                 1.0704,                0.75756,                0.75083,                 1.1005,                0.70491,                0.71378,                 0.7574,                0.58658,                0.78851,                0.84878,                 1.2038,                0.83734,                 0.8973,                 1.2288,              0.0006792,              0.0006792,              0.0006792
                     56,                0.67448,                0.68086,                 1.0624,                0.74601,                0.75506,                 1.0915,                0.70248,                0.73484,                0.76277,                0.59356,                0.79192,                 0.8489,                 1.2043,                0.83265,                0.90978,                 1.2261,             0.00066506,             0.00066506,             0.00066506
                     57,                0.66308,                0.66065,                 1.0552,                0.73116,                0.71803,                 1.0871,                0.73321,                0.71439,                0.76797,                 0.5951,                0.80107,                0.84249,                 1.2196,                0.84249,                0.88797,                 1.2382,             0.00065091,             0.00065091,             0.00065091
                     58,                0.66441,                0.67001,                  1.055,                0.73458,                0.73596,                 1.0859,                0.71532,                0.72404,                0.76821,                0.59344,                0.79713,                0.83606,                 1.2117,                0.83583,                0.89609,                 1.2332,             0.00063676,             0.00063676,             0.00063676
                     59,                0.65955,                 0.6379,                 1.0482,                0.72697,                0.69634,                 1.0782,                0.72049,                0.71678,                0.76188,                0.59216,                0.79635,                0.84446,                 1.2125,                0.83971,                0.89548,                 1.2331,             0.00062262,             0.00062262,             0.00062262
                     60,                0.65501,                0.64116,                 1.0447,                0.72198,                0.70342,                 1.0743,                0.69532,                0.72287,                0.75694,                 0.5869,                 0.7909,                0.85294,                 1.2123,                0.83929,                0.90576,                 1.2392,             0.00060847,             0.00060847,             0.00060847
                     61,                0.65087,                0.62609,                 1.0418,                0.71817,                 0.6864,                 1.0721,                0.72021,                0.72739,                0.76421,                0.59318,                 0.8011,                 0.8474,                 1.2247,                  0.838,                0.91331,                 1.2428,             0.00059432,             0.00059432,             0.00059432
                     62,                 0.6468,                0.61902,                 1.0461,                0.71677,                0.68272,                 1.0783,                0.71749,                0.71216,                0.75902,                0.59034,                0.78853,                0.84594,                 1.2075,                0.83193,                0.90718,                 1.2328,             0.00058017,             0.00058017,             0.00058017
                     63,                0.64306,                0.61238,                 1.0418,                0.71032,                0.67512,                 1.0736,                0.73122,                0.71619,                0.76751,                0.59775,                0.79081,                0.85636,                 1.2113,                 0.8334,                0.93516,                 1.2361,             0.00056603,             0.00056603,             0.00056603
                     64,                0.63189,                 0.5994,                 1.0348,                 0.6978,                0.65824,                 1.0661,                0.70646,                0.73894,                0.77176,                0.60144,                 0.7882,                0.84642,                 1.2071,                 0.8278,                0.90499,                 1.2307,             0.00055188,             0.00055188,             0.00055188
                     65,                0.62866,                0.60098,                  1.033,                0.69797,                0.66265,                 1.0661,                0.72234,                 0.7134,                0.76593,                 0.5957,                 0.7941,                0.86754,                  1.219,                0.82686,                0.95729,                  1.236,             0.00053773,             0.00053773,             0.00053773
                     66,                0.63428,                0.59532,                 1.0351,                0.70209,                0.65497,                 1.0675,                0.72811,                0.70729,                0.76163,                0.59264,                0.79177,                0.87599,                 1.2217,                0.82589,                0.94405,                 1.2374,             0.00052359,             0.00052359,             0.00052359
                     67,                0.62083,                0.58201,                 1.0258,                0.68444,                0.63269,                 1.0568,                0.73441,                0.70923,                0.76743,                0.59779,                0.79429,                0.85897,                 1.2215,                0.83322,                0.92353,                 1.2429,             0.00050944,             0.00050944,             0.00050944
                     68,                0.62007,                0.57145,                 1.0257,                0.68653,                0.62715,                 1.0565,                 0.7489,                0.69356,                0.76314,                0.59688,                0.79073,                 0.8737,                 1.2163,                0.83141,                0.96221,                 1.2353,             0.00049529,             0.00049529,             0.00049529
                     69,                 0.6129,                0.56226,                 1.0212,                0.68082,                0.62071,                 1.0522,                0.75603,                0.70613,                0.76871,                0.60194,                0.78746,                0.87294,                 1.2103,                0.82432,                0.95608,                 1.2279,             0.00048114,             0.00048114,             0.00048114
                     70,                0.61261,                0.55927,                 1.0165,                0.67803,                0.61113,                 1.0462,                0.71413,                0.72521,                0.76294,                0.59286,                0.79752,                0.88659,                 1.2231,                0.83348,                0.97918,                 1.2411,               0.000467,               0.000467,               0.000467
                     71,                0.60682,                0.54772,                  1.017,                0.67095,                0.60151,                 1.0483,                 0.7147,                0.72491,                0.75886,                0.59198,                0.79881,                0.87706,                 1.2238,                0.83196,                0.96861,                 1.2391,             0.00045285,             0.00045285,             0.00045285
                     72,                  0.605,                0.55509,                 1.0147,                  0.669,                0.61324,                 1.0444,                0.71338,                0.71863,                0.75917,                0.59145,                0.80473,                0.88903,                 1.2334,                0.84048,                0.96947,                 1.2443,              0.0004387,              0.0004387,              0.0004387
                     73,                0.60306,                 0.5431,                 1.0106,                0.67109,                0.60157,                 1.0408,                0.72559,                0.71167,                0.76133,                0.59413,                0.79204,                0.88395,                 1.2259,                0.83216,                0.97574,                 1.2426,             0.00042456,             0.00042456,             0.00042456
                     74,                 0.5938,                  0.527,                 1.0088,                0.65629,                0.58031,                 1.0374,                0.71863,                0.71258,                0.76444,                0.59644,                0.79632,                0.87885,                 1.2212,                0.83386,                0.95634,                  1.238,             0.00041041,             0.00041041,             0.00041041
                     75,                0.59268,                0.52825,                 1.0116,                0.65345,                0.57831,                 1.0423,                0.71945,                 0.7267,                0.76367,                0.59492,                0.79999,                0.89035,                 1.2237,                0.83762,                0.97834,                 1.2396,             0.00039626,             0.00039626,             0.00039626
                     76,                0.59218,                0.52816,                  1.011,                0.65546,                0.57611,                 1.0425,                0.74395,                0.69519,                 0.7623,                0.59407,                0.79744,                 0.8802,                 1.2263,                0.83532,                0.97404,                  1.242,             0.00038211,             0.00038211,             0.00038211
                     77,                0.58816,                0.51371,                 1.0038,                0.64829,                0.56324,                  1.032,                0.72791,                  0.708,                0.75988,                0.59237,                0.79058,                0.89782,                 1.2199,                 0.8342,                0.98959,                  1.244,             0.00036797,             0.00036797,             0.00036797
                     78,                0.58004,                 0.5131,                 1.0006,                0.64242,                  0.564,                 1.0299,                0.73238,                 0.7165,                 0.7611,                0.59418,                0.78497,                0.89926,                 1.2225,                0.83391,                0.98427,                 1.2437,             0.00035382,             0.00035382,             0.00035382
                     79,                 0.5765,                0.50877,                0.99973,                0.64046,                0.56268,                 1.0302,                0.71014,                0.73755,                0.76652,                0.59732,                0.79044,                0.87529,                 1.2278,                0.83092,                0.96181,                 1.2462,             0.00033967,             0.00033967,             0.00033967
                     80,                0.56792,                0.50228,                0.99664,                0.62694,                0.55559,                 1.0266,                0.74955,                0.69338,                0.76157,                0.59381,                0.79016,                0.88304,                 1.2315,                0.83048,                0.99157,                 1.2504,             0.00032553,             0.00032553,             0.00032553
                     81,                0.56614,                0.49222,                0.99207,                0.62862,                0.54236,                 1.0213,                0.71421,                0.71845,                 0.7575,                 0.5898,                0.79351,                0.90079,                 1.2302,                0.83813,                 1.0151,                 1.2488,             0.00031138,             0.00031138,             0.00031138
                     82,                0.56979,                0.49815,                0.99571,                0.63225,                0.54649,                 1.0259,                0.73963,                0.70601,                0.76649,                0.59875,                0.79031,                0.88981,                 1.2332,                0.83041,                 1.0019,                 1.2476,             0.00029723,             0.00029723,             0.00029723
                     83,                0.55773,                0.48387,                0.98856,                0.62125,                0.53164,                 1.0191,                0.71002,                0.72185,                0.75827,                0.59252,                0.78758,                0.91535,                 1.2247,                0.82594,                  1.042,                 1.2425,             0.00028308,             0.00028308,             0.00028308
                     84,                 0.5545,                0.47698,                 0.9854,                 0.6139,                0.52579,                 1.0151,                0.71246,                0.72955,                 0.7606,                0.59616,                0.78838,                0.90601,                 1.2242,                0.82525,                 1.0176,                 1.2379,             0.00026894,             0.00026894,             0.00026894
                     85,                0.55996,                0.48148,                0.99157,                0.62141,                0.53491,                 1.0209,                0.71451,                  0.734,                0.76575,                0.59957,                0.79041,                0.89894,                 1.2274,                0.82944,                 1.0027,                 1.2419,             0.00025479,             0.00025479,             0.00025479
                     86,                0.55784,                  0.471,                0.98274,                0.62047,                0.51612,                 1.0112,                0.71833,                0.72494,                0.75871,                0.59332,                0.79601,                0.89712,                 1.2396,                0.83392,                 1.0046,                 1.2546,             0.00024064,             0.00024064,             0.00024064
                     87,                0.54389,                0.46077,                0.98358,                0.60098,                0.50548,                 1.0115,                0.74444,                0.69704,                0.75691,                0.59112,                0.79235,                0.91551,                 1.2357,                0.83298,                 1.0353,                 1.2524,              0.0002265,              0.0002265,              0.0002265
                     88,                0.54745,                0.46276,                0.98228,                0.60695,                0.50824,                 1.0103,                 0.7074,                 0.7312,                0.75984,                0.59582,                0.78698,                0.90437,                 1.2278,                0.82793,                 1.0206,                 1.2464,             0.00021235,             0.00021235,             0.00021235
                     89,                0.53757,                0.45153,                0.97478,                0.59651,                0.49499,                 1.0016,                0.72799,                0.72357,                0.76457,                0.59757,                 0.7904,                0.89582,                 1.2342,                0.83679,                 1.0091,                 1.2553,              0.0001982,              0.0001982,              0.0001982
                     90,                 0.5421,                0.45898,                  0.979,                0.60065,                0.50592,                 1.0073,                 0.7329,                0.71778,                0.76078,                0.59593,                0.79215,                0.89817,                 1.2265,                0.83392,                 1.0217,                 1.2448,             0.00018406,             0.00018406,             0.00018406
                     91,                0.47977,                0.33518,                0.93178,                0.51046,                0.32245,                0.94846,                0.73489,                0.70878,                0.76584,                  0.598,                0.79593,                0.90226,                 1.2345,                  0.842,                 1.0236,                 1.2571,             0.00016991,             0.00016991,             0.00016991
                     92,                0.46591,                0.31835,                0.93131,                0.49408,                0.30334,                0.94648,                0.72275,                0.71929,                0.76477,                0.59753,                0.79414,                0.90016,                 1.2388,                0.83707,                  1.036,                  1.257,             0.00015576,             0.00015576,             0.00015576
                     93,                0.45693,                0.31056,                0.92447,                0.48462,                0.29744,                0.93869,                0.72761,                0.72452,                0.76645,                0.60038,                0.79487,                0.90596,                 1.2405,                0.83365,                  1.033,                 1.2589,             0.00014161,             0.00014161,             0.00014161
                     94,                0.45422,                0.31363,                0.92009,                0.48056,                0.29911,                0.93522,                0.72894,                0.71326,                0.76261,                0.59747,                0.79631,                0.90778,                 1.2445,                0.83442,                  1.033,                 1.2565,             0.00012747,             0.00012747,             0.00012747
                     95,                0.44895,                0.30044,                0.92037,                0.47339,                0.28171,                0.93395,                0.69515,                 0.7491,                0.76339,                0.59845,                0.79655,                0.92047,                  1.246,                0.83205,                 1.0611,                 1.2551,             0.00011332,             0.00011332,             0.00011332
                     96,                0.44814,                0.30439,                0.91708,                 0.4752,                0.29422,                0.93208,                0.71565,                0.72701,                0.76428,                0.59945,                0.79557,                0.91209,                 1.2473,                0.83433,                 1.0451,                 1.2606,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.44766,                0.29861,                0.91634,                0.47466,                0.28263,                0.93121,                 0.7149,                0.73578,                0.76375,                0.59851,                0.79744,                0.91407,                 1.2485,                0.82975,                 1.0532,                 1.2554,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.44338,                0.28949,                0.91109,                0.46925,                0.26909,                0.92507,                0.71299,                0.72965,                0.76233,                0.59833,                0.79812,                0.93416,                 1.2496,                0.83143,                 1.0911,                 1.2564,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.43902,                 0.2904,                0.91161,                0.46712,                0.27452,                0.92633,                0.70819,                0.74354,                0.76447,                0.59949,                0.79473,                0.92377,                 1.2483,                0.83346,                 1.0598,                 1.2595,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.43459,                0.28058,                0.90951,                0.46032,                0.26071,                0.92278,                 0.7055,                0.74695,                0.76599,                0.59944,                0.79922,                0.93599,                 1.2507,                 0.8351,                 1.0852,                 1.2609,             4.2584e-05,             4.2584e-05,             4.2584e-05
